App.,Taxon,Term,Unit,Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
I,Balaenoptera edeni,skulls,,CA,,,1,,,,,,,,
I,Balaenoptera edeni,specimens,g,DK,,,,,,0.1,,,,,
I,Balaenoptera edeni,specimens,g,JP,,,96.89,62.56,,,,,,,
I,Balaenoptera edeni,specimens,g,US,24.2,12.65,,,,,,,18,,
I,Balaenoptera edeni,specimens,Number of specimens,FR,,,,,,1,1,,,,
I,Balaenoptera edeni,specimens,Number of specimens,US,,,,467,10,,,,5,,
I,Balaenoptera edeni,specimens,Number of specimens,ZA,,,,,,,,10,10,,
I,Balaenoptera edeni,specimens,,DK,,,,,1,1,,,,,
I,Balaenoptera edeni,specimens,,NL,,5,,,,,,,,,
I,Balaenoptera edeni,specimens,,US,91,60,,,,,,,18,24,
I,Balaenoptera musculus,baleen,Number of specimens,ES,,,,,,,,2,,,
I,Balaenoptera musculus,baleen,Number of specimens,NZ,,,,1,,,,,,,
I,Balaenoptera musculus,baleen,,US,,1,,16,,,,,,,
I,Balaenoptera musculus,bone carvings,,CA,,,1,,,,,,,,
I,Balaenoptera musculus,bones,g,JP,,,,4.8,,,,,,,
I,Balaenoptera musculus,bones,Number of specimens,AE,,,,,,,,167,167,,
I,Balaenoptera musculus,bones,,PT,,,,3,,,,,,,
I,Balaenoptera musculus,extract,Number of specimens,US,,,,,,,,3,,,
I,Balaenoptera musculus,skeletons,Number of specimens,CA,,,,,,,1,1,,,
I,Balaenoptera musculus,skin pieces,g,US,,,,2.7,,,,,,,
I,Balaenoptera musculus,skin pieces,,ES,10,,,,,,,,,,
I,Balaenoptera musculus,skins,Number of specimens,JP,,,,,,,12,,,,
I,Balaenoptera musculus,specimens,g,CA,,,,,15,,,,,,
I,Balaenoptera musculus,specimens,g,JP,,,19.32,0.03,,,,,,,
I,Balaenoptera musculus,specimens,g,US,0.4,0.19,,,,,,,,,
I,Balaenoptera musculus,specimens,kg,CA,,181,,,,,,,,,
I,Balaenoptera musculus,specimens,ml,CA,,,,,,,432,,10,,
I,Balaenoptera musculus,specimens,Number of specimens,CA,,,,8,,496,,,,,
I,Balaenoptera musculus,specimens,Number of specimens,DE,,,,,20,,,,,,
I,Balaenoptera musculus,specimens,Number of specimens,ES,,,70,,,,,,,,
I,Balaenoptera musculus,specimens,Number of specimens,FR,,,,,,1,1,,,,
I,Balaenoptera musculus,specimens,Number of specimens,GB,,,,4,40,,,,,,
I,Balaenoptera musculus,specimens,Number of specimens,JP,,,,,,,11,,,,
I,Balaenoptera musculus,specimens,Number of specimens,US,,,,76,,,,,70,,
I,Balaenoptera musculus,specimens,,AU,,239,,,,,,,,,
I,Balaenoptera musculus,specimens,,CA,,1,20,,,,,,,,
I,Balaenoptera musculus,specimens,,ES,,10,10,,,,,,,,
I,Balaenoptera musculus,specimens,,NL,35,5,9,,,,,,,,
I,Balaenoptera musculus,specimens,,US,13,28,10,,,,,,,,
I,Balaenoptera omurai,specimens,g,JP,,,2.23,2.23,,,,,,,
I,Balaenoptera omurai,specimens,,US,,,111,,,,,,,,
I,Balaenoptera physalus,baleen,kg,DK,,,2,,,,0.5,,,,
I,Balaenoptera physalus,baleen,Number of specimens,DK,,,,,,,3,,,,
I,Balaenoptera physalus,baleen,,ES,10,,,,,,,,,,
I,Balaenoptera physalus,baleen,,US,,,,10,,,,,,,
I,Balaenoptera physalus,bodies,Number of specimens,CA,,,,,,,,1,,,
I,Balaenoptera physalus,bone pieces,,CA,,,1,,,,,,,,
I,Balaenoptera physalus,bones,Number of specimens,DK,,,,,,1,,,,,
I,Balaenoptera physalus,bones,Number of specimens,FR,,,10,,,,,,,,
I,Balaenoptera physalus,bones,,CA,,,1,,,,,,,,
I,Balaenoptera physalus,bones,,FR,,,10,,,,,,,,
I,Balaenoptera physalus,extract,Number of specimens,US,,,,,,,,2,,,
I,Balaenoptera physalus,jewellery,,DK,1,,,,,,,,,,
I,Balaenoptera physalus,meat,g,NO,,,,,,2800,,,,,
I,Balaenoptera physalus,meat,kg,JP,,1556000,1977500,1690000,1235000,,,3000000,1.5,,
I,Balaenoptera physalus,meat,kg,NL,,,,,3.5,,,,,,
I,Balaenoptera physalus,skin pieces,g,US,,,,3.2,,,,,,,
I,Balaenoptera physalus,skin pieces,Number of specimens,ES,,,,,,,2,,,,
I,Balaenoptera physalus,skin pieces,,ES,100,,,,,,,,,,
I,Balaenoptera physalus,skins,Number of specimens,JP,,,,,,,90,,,,
I,Balaenoptera physalus,skins,,US,,,92,,,,,,,,
I,Balaenoptera physalus,specimens,g,NO,,,,,,2.8,,,,,
I,Balaenoptera physalus,specimens,g,US,0.1,,,,,,17,,21,,
I,Balaenoptera physalus,specimens,kg,CA,,,,,,190,,,,,
I,Balaenoptera physalus,specimens,kg,ES,,,,,,,,90,,,
I,Balaenoptera physalus,specimens,ml,CA,,,,,,2,,,,,
I,Balaenoptera physalus,specimens,ml,NO,,,,,,,,325,,,
I,Balaenoptera physalus,specimens,ml,US,,,,,5,,,,,,
I,Balaenoptera physalus,specimens,Number of specimens,CA,,,452,1,,,,119,,,
I,Balaenoptera physalus,specimens,Number of specimens,ES,,,430,,,,,204,,,
I,Balaenoptera physalus,specimens,Number of specimens,JP,,,,,,,90,,,,
I,Balaenoptera physalus,specimens,Number of specimens,NL,,,,,52,,,,,,
I,Balaenoptera physalus,specimens,Number of specimens,NO,,,120,,,,,19,,,
I,Balaenoptera physalus,specimens,Number of specimens,US,,,,7,,20,,,14,,
I,Balaenoptera physalus,specimens,,AT,10,,,,,,,,,,
